Intitulé gare,Code UIC,Latitude,Longitude,Tx_occup_places_tot
La Barre Ormesson,87271171,48.96633,2.31688,0.24664862962383272
Saint-Denis,87271015,48.9354933,2.3459524,0.2373692988219333
Épinay - Villetaneuse,87271122,48.95838,2.32865,0.22864302978305473
Enghien-les-Bains,87276022,48.97309,2.3069900000000003,0.22556535476287537
Cernay (Val-d'Oise),87276063,48.98539,2.2568,0.1922417072109346
Champ de Courses d'Enghien,87276030,48.97975,2.29189,0.18477336118209173
Ermont - Eaubonne,87276055,48.98033220000001,2.2712293999999997,0.1774603134219203
Franconville - Le Plessis-Bouchard,87276071,48.99358,2.2351400000000003,0.17008421457330994
Ermont Halte,87276584,48.9898,2.26323,0.14932620413387251
Montigny - Beauchamp,87276089,49.00758,2.19767,0.1388472910706479
Deuil - Montmagny,87276345,48.97589,2.33785,0.12695782716917464
Écouen - Ézanville,87276394,49.022729999999996,2.36325,0.12559798904014682
Groslay,87276360,48.98462,2.35358,0.12010651968255613
Pierrelaye,87276097,49.01955,2.15371,0.11702346361130865
Paris Gare du Nord,87271007,48.880185,2.3551509999999998,0.1157291724641632
Saint-Leu-la-Forêt,87276600,49.01571,2.24264,0.11247627748978221
Sarcelles - Saint-Brice,87276386,48.995290000000004,2.3686700000000003,0.1104448843060499
Taverny,87276634,49.02536,2.22187,0.10601078945478794
Domont,87276436,49.03268,2.3374599999999996,0.09867532065959471
Viarmes,87276568,49.11692,2.3683799999999997,0.09019431680625294
Bessancourt,87276642,49.035759999999996,2.2100400000000002,0.08696811223093412
Presles Courcelles,87276501,49.113459999999996,2.2875900000000002,0.08493439056836813
Épluches,87276147,49.0549329,2.1225973,0.08405770509102099
Pont Petit,87276154,49.06004,2.13046,0.0839353348639256
Chaponval,87276162,49.0694825,2.1423781,0.07961394124679053
Saint-Ouen-l'Aumône,87276105,49.04527,2.1065099999999997,0.07937050065786695
Nointel - Mours,87276758,49.1327,2.2806599999999997,0.0786393661977359
Bouffémont - Moisselles,87276485,49.04514,2.32272,0.07770004437518996
Auvers-sur-Oise,87276543,49.07062,2.1752599999999997,0.07519596683851973
Frépillon,87276659,49.0462,2.1971700000000003,0.07364055819797521
Méry-sur-Oise,87276667,49.05766,2.1907400000000004,0.06588845704195696
Montsoult - Maffliers,87276493,49.066109999999995,2.32229,0.06038860535290974
L'Isle-Adam - Parmain,87276527,49.11482,2.2097599999999997,0.05927071203865713
Marne-la-Vallée Chessy,87111849,48.869856,2.78272,0.05218816865488758
Valmondois,87276535,49.09182,2.20238,0.04864508429124677
Champagne-sur-Oise,87276519,49.13573,2.2415599999999998,0.048167477930785366
Bruyères-sur-Oise,87276451,49.1552098,2.3259636,0.039342227784975356
Villaines-sous-Bois,87272021,49.0798273,2.3513736,0.036637270119483735
Pontoise,87276139,49.047090000000004,2.09545,0.03559477885930068
Saint-Leu-d'Esserent,87276402,49.2140819,2.4177845000000002,0.034834318198818735
Belloy - Saint-Martin,87276550,49.09807,2.36135,0.03451910462309567
Précy-sur-Oise,87276410,49.203349200000005,2.3764638,0.03326975888432038
Boran-sur-Oise,87276444,49.1671348,2.362537,0.032593796620959056
Persan - Beaumont,87276469,49.14795,2.27914,0.03090889362746906
Seugy,87272039,49.118992299999995,2.3989116000000004,0.01937278650714117
Creil,87276006,49.263757,2.4692439,0.018655414748005538
Luzarches,87276576,49.11719,2.4207400000000003,0.009055141801644153
